"Time","CPU_Usage","RAM_UsageMB"
"2025-03-27 16:31:24","0","69,48"
"2025-03-27 16:31:25","0","69,48"
"2025-03-27 16:31:26","0","69,48"
"2025-03-27 16:31:27","1,93","69,43"
"2025-03-27 16:31:28","0,39","69,44"
"2025-03-27 16:31:29","4,53","70,52"
"2025-03-27 16:31:30","23,56","79,46"
"2025-03-27 16:31:32","0,81","79,55"
"2025-03-27 16:31:33","0","79,55"
"2025-03-27 16:31:34","0,78","79,55"
"2025-03-27 16:31:35","2,71","75,86"
"2025-03-27 16:31:36","3,5","75,88"
"2025-03-27 16:31:37","1,94","75,84"
"2025-03-27 16:31:38","2,33","75,86"
"2025-03-27 16:31:39","3,84","75,86"
"2025-03-27 16:31:40","1,16","75,87"
"2025-03-27 16:31:41","2,7","75,88"
"2025-03-27 16:31:42","1,93","75,95"
"2025-03-27 16:31:43","2,33","75,96"
"2025-03-27 16:31:44","0,77","75,97"
"2025-03-27 16:31:45","1,54","75,95"
"2025-03-27 16:31:46","1,16","76,05"
"2025-03-27 16:31:47","2,3","76,07"
"2025-03-27 16:31:48","1,92","76,08"
"2025-03-27 16:31:49","1,95","76,12"
"2025-03-27 16:31:50","2,3","76,12"
"2025-03-27 16:31:51","1,52","76,13"
"2025-03-27 16:31:52","2,34","76,14"
"2025-03-27 16:31:53","1,93","76,17"
"2025-03-27 16:31:54","0,78","76,16"
"2025-03-27 16:31:55","0,77","76,16"
"2025-03-27 16:31:56","1,95","76,17"
"2025-03-27 16:31:57","2,31","76,21"
"2025-03-27 16:32:01","0,28","76,21"
"2025-03-27 16:32:02","3,84","76,27"
"2025-03-27 16:32:03","3,11","76,46"
"2025-03-27 16:32:04","3,88","76,59"
"2025-03-27 16:32:05","0,78","76,62"
"2025-03-27 16:32:06","2,7","76,63"
"2025-03-27 16:32:07","2,7","76,69"
"2025-03-27 16:32:08","3,85","76,97"
"2025-03-27 16:32:09","4,68","77,17"
"2025-03-27 16:32:10","1,53","77,3"
"2025-03-27 16:32:11","0,78","77,36"
"2025-03-27 16:32:12","1,55","77,41"
"2025-03-27 16:32:13","1,54","77,43"
"2025-03-27 16:32:15","3,07","77,56"
"2025-03-27 16:32:16","1,94","77,76"
"2025-03-27 16:32:17","0,77","77,81"
"2025-03-27 16:32:18","1,55","77,74"
"2025-03-27 16:32:19","1,17","77,75"
"2025-03-27 16:32:20","0,76","77,8"
"2025-03-27 16:32:21","1,93","77,8"
"2025-03-27 16:32:22","1,53","77,81"
"2025-03-27 16:32:23","1,55","77,83"
"2025-03-27 16:32:24","0,76","77,84"
"2025-03-27 16:32:25","0,39","77,83"
"2025-03-27 16:32:26","1,54","77,88"
"2025-03-27 16:32:27","1,55","78,27"
"Average","2,16","76,19"
