"Time","CPU_Usage","RAM_UsageMB"
"2025-03-27 13:56:45","3,07","185,12"
"2025-03-27 13:56:46","6,09","186,66"
"2025-03-27 13:56:47","4,14","187,91"
"2025-03-27 13:56:48","4,64","189,2"
"2025-03-27 13:56:49","2,58","190,38"
"2025-03-27 13:56:50","5,16","192,88"
"2025-03-27 13:56:51","4,08","195,27"
"2025-03-27 13:56:52","2,57","196,31"
"2025-03-27 13:56:53","4,64","198,47"
"2025-03-27 13:56:54","5,64","200,14"
"2025-03-27 13:56:55","5,04","203,87"
"2025-03-27 13:56:56","5,68","205,33"
"2025-03-27 13:56:57","7,29","208,35"
"2025-03-27 13:56:58","5,62","211,45"
"2025-03-27 13:56:59","9,31","213,68"
"2025-03-27 13:57:00","4,11","215,33"
"2025-03-27 13:57:01","5,7","216,55"
"2025-03-27 13:57:02","3,1","219,71"
"2025-03-27 13:57:03","3,57","221,33"
"2025-03-27 13:57:05","4,08","224,75"
"2025-03-27 13:57:06","5,72","225,79"
"2025-03-27 13:57:07","5,68","228,02"
"2025-03-27 13:57:08","7,75","230,73"
"2025-03-27 13:57:09","5,7","235,12"
"2025-03-27 13:57:10","4,07","236,94"
"2025-03-27 13:57:11","3,58","239,94"
"2025-03-27 13:57:12","4,16","243,88"
"2025-03-27 13:57:13","4,62","245,54"
"2025-03-27 13:57:14","5,61","249,82"
"2025-03-27 13:57:15","3,54","252,68"
"2025-03-27 13:57:16","3,64","254,87"
"2025-03-27 13:57:17","4,64","257,02"
"2025-03-27 13:57:18","6,47","258,44"
"2025-03-27 13:57:19","5,18","261,25"
"2025-03-27 13:57:20","5,63","263,95"
"2025-03-27 13:57:21","5,15","265,95"
"2025-03-27 13:57:22","5,65","268,64"
"2025-03-27 13:57:23","5,2","271,15"
"2025-03-27 13:57:24","5,18","274,01"
"2025-03-27 13:57:25","6,12","276,71"
"2025-03-27 13:57:26","6,12","278,97"
"2025-03-27 13:57:27","4,67","280,86"
"2025-03-27 13:57:28","5,72","284,14"
"2025-03-27 13:57:29","4,1","286,25"
"2025-03-27 13:57:30","6,19","288,04"
"2025-03-27 13:57:31","3,09","290,42"
"2025-03-27 13:57:32","5,13","292,78"
"2025-03-27 13:57:33","5,17","294,24"
"2025-03-27 13:57:34","3,57","296,67"
"2025-03-27 13:57:35","4,68","299,11"
"2025-03-27 13:57:36","2,59","301,43"
"2025-03-27 13:57:37","3,6","304,39"
"2025-03-27 13:57:38","5,15","306,74"
"2025-03-27 13:57:39","4,69","309,53"
"2025-03-27 13:57:40","3,04","311,68"
"2025-03-27 13:57:41","6,13","313,04"
"2025-03-27 13:57:42","5,15","314,3"
"2025-03-27 13:57:43","3,09","315,7"
"2025-03-27 13:57:44","3,09","316,84"
"Average","4,82","250,65"
