"Time","CPU_Usage","RAM_UsageMB"
"2025-03-27 16:13:12","17,66","17"
"2025-03-27 16:13:13","10,73","17"
"2025-03-27 16:13:14","15,51","17"
"2025-03-27 16:13:15","13,24","17"
"2025-03-27 16:13:16","15,95","17"
"2025-03-27 16:13:17","13,37","17"
"2025-03-27 16:13:18","11,72","17"
"2025-03-27 16:13:19","13,39","17"
"2025-03-27 16:13:20","13,96","17"
"2025-03-27 16:13:21","15,35","17"
"2025-03-27 16:13:22","12,16","17"
"2025-03-27 16:13:23","16,7","17"
"2025-03-27 16:13:24","14,8","17"
"2025-03-27 16:13:25","14,28","17"
"2025-03-27 16:13:26","11,65","17"
"2025-03-27 16:13:27","11,79","17"
"2025-03-27 16:13:29","11,28","17"
"2025-03-27 16:13:30","11,76","17,02"
"2025-03-27 16:13:31","7,49","17,02"
"2025-03-27 16:13:32","12,86","17,02"
"2025-03-27 16:13:33","16,95","17,02"
"2025-03-27 16:13:34","12,86","17,02"
"2025-03-27 16:13:35","12,41","17,03"
"2025-03-27 16:13:36","13,42","17,03"
"2025-03-27 16:13:37","13,27","17,03"
"2025-03-27 16:13:38","12,31","17,03"
"2025-03-27 16:13:39","14,41","17,03"
"2025-03-27 16:13:40","11,92","17,03"
"2025-03-27 16:13:41","6,66","17,03"
"2025-03-27 16:13:42","7,78","17,03"
"2025-03-27 16:13:43","4,11","17,03"
"2025-03-27 16:13:44","4,99","17,03"
"2025-03-27 16:13:45","6,33","17,03"
"2025-03-27 16:13:46","4,61","17,03"
"2025-03-27 16:13:47","4,14","17,03"
"2025-03-27 16:13:48","6,73","17,03"
"2025-03-27 16:13:49","12,37","17,03"
"2025-03-27 16:13:50","11,83","17,08"
"2025-03-27 16:13:51","9,66","17,08"
"2025-03-27 16:13:52","15,99","17,08"
"2025-03-27 16:13:53","1,02","17,08"
"2025-03-27 16:13:54","10,29","17,08"
"2025-03-27 16:13:55","6,11","17,08"
"2025-03-27 16:13:56","17,59","17,08"
"2025-03-27 16:13:57","6,51","17,08"
"2025-03-27 16:13:58","5,45","17,08"
"2025-03-27 16:13:59","7,45","17,08"
"2025-03-27 16:14:00","2,56","17,08"
"2025-03-27 16:14:01","6,17","17,08"
"2025-03-27 16:14:02","6,68","17,08"
"2025-03-27 16:14:03","12,27","17,08"
"2025-03-27 16:14:04","9,21","17,08"
"2025-03-27 16:14:05","8,15","17,08"
"2025-03-27 16:14:06","10,59","17,08"
"2025-03-27 16:14:07","11,85","17,08"
"2025-03-27 16:14:08","8,27","17,08"
"2025-03-27 16:14:09","11,27","17,08"
"2025-03-27 16:14:10","3,59","17,08"
"2025-03-27 16:14:11","7,16","17,08"
"Average","10,52","17,04"
