"Time","CPU_Usage","RAM_UsageMB"
"2025-03-27 14:50:10","0","91,4"
"2025-03-27 14:50:10","0","91,4"
"2025-03-27 14:50:11","0","91,4"
"2025-03-27 14:50:12","0","91,4"
"2025-03-27 14:50:12","0","91,4"
"2025-03-27 14:50:13","0,78","91,4"
"2025-03-27 14:50:14","0","91,39"
"2025-03-27 14:50:14","0","91,39"
"2025-03-27 14:50:15","0","91,39"
"2025-03-27 14:50:16","0,78","91,39"
"2025-03-27 14:50:16","0","91,39"
"2025-03-27 14:50:17","0,71","91,39"
"2025-03-27 14:50:18","0","91,39"
"2025-03-27 14:50:18","0","91,39"
"2025-03-27 14:50:19","0,7","91,39"
"2025-03-27 14:50:20","0","91,39"
"2025-03-27 14:50:21","0","91,39"
"2025-03-27 14:50:21","0","91,39"
"2025-03-27 14:50:22","0","91,41"
"2025-03-27 14:50:23","0","91,41"
"2025-03-27 14:50:24","0,7","91,44"
"2025-03-27 14:50:24","0","91,44"
"2025-03-27 14:50:25","0","91,44"
"2025-03-27 14:50:26","0","91,5"
"2025-03-27 14:50:27","0","91,5"
"2025-03-27 14:50:28","0","91,5"
"2025-03-27 14:50:29","0","91,5"
"2025-03-27 14:50:29","0","91,68"
"2025-03-27 14:50:30","0,63","91,68"
"2025-03-27 14:50:31","0","91,68"
"2025-03-27 14:50:32","0","91,68"
"2025-03-27 14:50:33","0","91,68"
"2025-03-27 14:50:34","0","91,68"
"2025-03-27 14:50:35","0","91,68"
"2025-03-27 14:50:35","0","91,68"
"2025-03-27 14:50:36","0,58","91,68"
"2025-03-27 14:50:37","0","91,68"
"2025-03-27 14:50:38","0","91,68"
"2025-03-27 14:50:39","0","91,68"
"2025-03-27 14:50:40","0,57","91,69"
"2025-03-27 14:50:41","0","91,69"
"2025-03-27 14:50:42","0","91,7"
"2025-03-27 14:50:43","0","91,7"
"2025-03-27 14:50:44","0","91,7"
"2025-03-27 14:50:45","0","91,7"
"2025-03-27 14:50:46","0,53","91,71"
"2025-03-27 14:50:47","0","91,71"
"2025-03-27 14:50:48","0","91,72"
"2025-03-27 14:50:49","0,52","91,79"
"2025-03-27 14:50:50","0","91,8"
"2025-03-27 14:50:51","0,51","91,8"
"2025-03-27 14:50:52","0,96","91,89"
"2025-03-27 14:50:53","3,38","92"
"2025-03-27 14:50:54","0","92,04"
"2025-03-27 14:50:55","0","92,04"
"2025-03-27 14:50:56","0,48","92,04"
"2025-03-27 14:50:57","0,48","92,04"
"2025-03-27 14:50:59","0,48","92,04"
"2025-03-27 14:51:00","0","92,04"
"Average","0,22","91,61"
